Character,Gender,NumberOfAppearances,FirstAppearance,LastAppearance,ExitStatus,Born,Died,AgeEnterStreet,AgeLastOnStreet,YearsOnStreet,Returner,NumberTimesMarried,NumberChildren,Occupation,Industry,BigamyCommitted
Aadi Alahan,Male,516,2006-01-13,,Alive,2006-01-13,,0.0,19.46,16.46,True,0,0,Assistant at the corner shop,"Wholesale, retail & repair of motor vehicles",False
Aaron Sandford,Male,140,2022-04-22,2023-06-16,Exit,,,,,1.15,False,0,0,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Abi Webster,Female,724,2017-10-02,,Alive,,,,,7.74,False,1,4,Mechanic at Webster's Autocentre,"Wholesale, retail & repair of motor vehicles",False
Adam Barlow,Male,1107,2001-01-14,,Alive,1988-05-03,,12.7,37.16,15.46,True,1,0,Solicitor at Barlow Legal Services,"Professional, scientific & technical activities",False
Aggie Bailey,Female,257,2019-06-12,2023-06-12,Exit,,,,,4.0,False,1,3,Nurse,Human health & social work activities,False
Aidan Connor,Male,370,2015-08-21,2018-05-07,Death,1983-04-09,2018-05-07,32.37,35.08,2.71,False,0,1,,,False
Aidan Critchley,Male,70,2002-04-12,2003-03-17,Exit,1987-02-01,,15.19,16.12,0.93,False,0,0,,,False
Alan Bradley,Male,221,1986-01-15,1989-12-08,Death,1939-07-20,1989-12-08,46.49,50.39,3.9,False,1,1,Owner of Weatherfield Security Systems,Administrative & support services,False
Alan Howard,Male,256,1969-12-01,1974-01-16,Exit,1924-04-23,,45.61,49.73,4.13,False,1,1,Businessman,Financial & insurance activities,False
Alan McKenna,Male,87,1996-11-08,1997-11-10,Exit,,,,,1.0,False,0,1,Detective,Public admin & defence; social security,False
Albert Tatlock,Male,1304,1960-12-09,1984-01-23,Death,1895-08-10,1984-05-14,65.33,88.76,23.43,False,1,1,Town Hall clerk (retired),Public admin & defence; social security,False
Alec Gilroy,Male,850,1972-06-26,1998-12-30,Exit,1935-05-22,,37.1,63.61,9.51,True,2,1,Landlord  Theatrical agent  Nightclub manager,Real estate activities,False
Aled Winter-Brown,Male,105,2019-10-30,,Alive,2019-10-30,,0.0,5.67,5.67,False,0,0,,,False
Alex Warner,Male,152,2015-09-13,,Alive,1987-07-21,,28.15,37.94,9.8,False,0,0,Waiter at Roy's Rolls,Accommodation & food services,False
Alf Roberts,Male,1780,1961-02-08,1999-01-01,Death,1926-10-07,1999-01-01,34.34,72.24,29.900000000000002,True,3,0,Shopkeeper,"Wholesale, retail & repair of motor vehicles",False
Alfie Franklin,Male,65,2022-03-07,,Alive,2022-03-06,,0.0,3.32,3.32,False,0,0,,,False
Ali Neeson,Male,215,2007-12-17,2020-03-13,Exit,1992-01-14,,15.92,28.16,2.24,True,0,0,Trainee general practitioner,Human health & social work activities,False
Alina Pop,Female,180,2019-04-22,2024-09-18,Exit,1998-10-01,,20.56,25.97,2.41,True,0,1,Telesales agent,"Wholesale, retail & repair of motor vehicles",False
Alison Webster,Female,133,1998-12-28,2000-06-07,Death,,2000-06-07,,,1.44,False,1,1,Factory machinist,Manufacturing,False
Alma Halliwell,Female,1135,1981-06-22,2001-06-20,Death,1945-10-18,2001-06-17,35.68,55.66,13.98,True,2,0,Caterer,Accommodation & food services,False
Alya Nazir,Female,940,2014-06-25,,Alive,1993-02-17,,21.35,32.36,11.01,False,0,0,Co-owner of Speed Daal  Solicitor (trainee),Accommodation & food services,False
Amber Kalirai,Female,250,2005-11-09,2012-03-23,Exit,1991-01-09,,14.83,21.2,4.37,True,0,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Amy Barlow,Female,1164,2004-02-09,,Alive,2004-02-09,,0.0,21.39,21.39,False,0,0,Waitress at Viaduct Bistro,Accommodation & food services,False
Andrea Beckett,Female,148,2013-12-23,2015-09-25,Exit,,,,,1.75,False,1,2,,,False
Andrea Clayton,Female,41,1985-01-30,2001-11-07,Exit,1967-08-03,,17.49,34.26,1.77,True,0,1,,,False
Andy Carver,Male,213,2014-11-21,2017-10-27,Death,1985-06-08,2017-10-27,29.45,32.39,2.93,False,0,0,Waiter,Accommodation & food services,False
Andy McDonald,Male,610,1989-12-06,2009-08-20,Exit,1974-06-26,,15.45,35.15,7.699999999999999,True,0,0,Teacher  Freelance journalist,Education,False
Angela Harris,Female,306,2002-11-13,2005-05-02,Exit,1964-07-18,,38.32,40.79,2.47,False,1,2,Factory worker,Manufacturing,False
Angie Appleton,Female,94,2017-08-21,2019-01-07,Exit,1986-03-09,,31.45,32.83,1.38,False,1,1,Accountant,Financial & insurance activities,False
Angie Freeman,Female,345,1990-10-08,1998-04-10,Exit,1967-06-20,,23.3,30.81,4.51,True,0,0,Designer,"Professional, scientific & technical activities",False
Anna Windass,Female,1059,2008-11-14,2018-06-01,Exit,1967-05-30,,41.46,51.01,9.54,False,1,2,Waitress  Cleaner,Accommodation & food services,False
Anne Malone,Female,100,1995-09-08,1998-10-11,Death,,1998-10-09,,,3.09,False,0,0,Shop supervisor,"Wholesale, retail & repair of motor vehicles",False
Annie Walker,Female,1723,1960-12-09,1983-10-12,Exit,1909-08-11,,51.33,74.17,22.84,False,1,2,Pub landlady,Accommodation & food services,False
Anthony Stephens,Male,67,2000-07-28,2001-07-01,Exit,,,,,0.93,False,1,2,Book shop owner,"Wholesale, retail & repair of motor vehicles",False
Archie Shuttleworth,Male,116,2002-02-17,2010-05-10,Exit,1934-09-14,2018-12-12,67.43,75.65,1.36,True,2,2,Undertaker,Other services,False
Arnold Swain,Male,42,1980-04-23,1981-03-11,Death,,1981-12-27,,,1.68,False,2,0,Pet shop owner,"Wholesale, retail & repair of motor vehicles",True
Asha Alahan,Female,596,2006-01-13,,Alive,2006-01-13,,0.0,19.46,16.46,True,0,0,Paramedic (trainee),Human health & social work activities,False
Ashley Peacock,Male,1274,1995-02-01,2010-12-08,Death,1976-01-24,2010-12-06,19.02,34.87,15.84,False,2,2,Butcher,"Wholesale, retail & repair of motor vehicles",False
Audrey Fleming,Female,120,1968-06-05,1970-05-13,Exit,1951-05-19,,17.05,18.98,1.94,False,1,0,Secretary,Administrative & support services,False
Audrey Roberts,Female,3439,1979-04-16,,Alive,1940-07-23,,38.73,84.94,44.21,True,1,2,Hairdresser (retired)Owner/Administrator of Audrey's salon,Other services,False
Becky Mallett,Female,68,1998-12-25,2000-10-01,Exit,1998-12-25,,0.0,1.77,1.77,False,0,0,,,False
Becky McDonald,Female,709,2005-08-24,2012-01-23,Exit,1980-08-01,,25.06,31.48,6.41,False,1,0,Barmaid,Accommodation & food services,False
Becky Palmer,Female,51,1996-05-20,1997-03-16,Exit,1982-12-09,,13.45,14.27,0.82,False,0,0,,,False
Ben Watts,Male,88,2001-12-26,2003-09-01,Exit,2001-12-26,,0.0,1.68,1.68,False,0,0,,,False
Bernard Butler,Male,37,1969-11-17,1970-06-29,Exit,,,,,0.61,False,0,0,Hairdresser,Other services,False
Bernie Winter,Female,537,2019-07-24,,Alive,,,,,5.94,False,0,3,Assistant at Prima DonerWaitress at Roy's Rolls,Accommodation & food services,False
Bert Tilsley,Male,221,1979-01-29,1983-07-27,Death,1935-06-08,1984-01-16,43.64,48.61,4.96,False,1,1,Fitter,Manufacturing,False
Bertie Osbourne,Male,144,2019-01-14,,Alive,2019-01-14,,0.0,6.46,6.46,False,0,0,,,False
Bet Lynch,Female,1979,1966-05-25,2003-11-30,Exit,1940-05-04,,26.06,63.57,26.520000000000003,True,1,1,Landlady,Real estate activities,False
Beth Sutherland,Female,988,2011-08-05,2024-08-30,Exit,1974-11-21,,36.7,49.77,13.07,False,1,1,Machinist,Manufacturing,True
Bethany Platt,Female,1050,2000-06-04,,Alive,2000-06-04,,0.0,25.07,14.07,True,0,0,Magazine writer,Information & communication,False
Betsy Swain,Female,133,2024-05-28,,Alive,2008-06-01,,15.99,17.08,1.09,False,0,0,Machinist,Manufacturing,False
Betty Williams,Female,2734,1969-06-02,2011-05-27,Death,1920-02-04,2012-04-16,49.33,92.2,42.87,False,1,1,Barmaid,Accommodation & food services,False
Bev Unwin,Female,376,2003-03-24,2015-07-15,Exit,1955-06-01,,47.81,60.12,3.31,True,1,2,Barmaid,Accommodation & food services,False
Bill Webster,Male,558,1984-02-06,2011-12-29,Exit,1942-11-02,2023-04-03,41.26,69.16,8.9,True,3,3,Builder (Retired),Construction,False
Billy Mallett,Male,63,1998-12-25,2000-10-01,Exit,1998-12-25,,0.0,1.77,1.77,False,0,0,,,False
Billy Mayhew,Male,982,2014-12-05,,Alive,1979-02-23,,35.78,46.35,10.57,False,1,0,Archdeacon,Education,False
Billy Walker,Male,405,1961-01-27,1984-12-05,Exit,1938-09-08,,22.39,46.24,11.85,True,0,0,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Billy Williams,Male,60,1995-05-08,1997-02-14,Death,1921-08-18,1997-11-03,73.72,76.21,2.49,False,1,1,,,False
Blanche Hunt,Female,844,1974-08-19,2009-12-11,Death,1936-01-22,2010-05-03,38.57,74.28,17.7,True,1,1,Corset maker (retired),Manufacturing,False
Bobbi Lewis,Female,134,2000-03-20,2002-04-05,Exit,,,,,2.04,False,0,0,Factory machinist,Manufacturing,False
Bobby Crawford,Male,122,2023-12-27,,Alive,2002-05-03,,21.65,23.16,1.51,False,0,0,Underworld sales clerk,"Wholesale, retail & repair of motor vehicles",False
Brian Packham,Male,647,2010-04-15,,Alive,1963-08-20,,46.65,61.86,13.21,True,1,0,Co-owner of The Kabin,"Wholesale, retail & repair of motor vehicles",False
Brian Tilsley,Male,524,1978-12-27,1989-02-15,Death,1958-10-15,1989-02-15,20.2,30.34,10.14,False,2,2,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Bryn Winter-Brown,Male,91,2019-10-30,,Alive,2019-10-30,,0.0,5.67,3.67,True,0,0,,,False
Callum Logan,Male,114,2014-10-03,2015-09-23,Death,1987-11-01,2015-09-21,26.92,27.89,0.97,False,0,2,,,False
